Architect,Condition,Construction Date,Contributing to a National Register District,Current Function,Former Street Number,Historic Function,Integrity,Landmark or National Register,Listing in Existing Survey,National Register Criterion,Noteworthy Buildings Less Than 50 Years Old,PIN Number(s),Potentially Contributing to a  National Register District,Reason for Significance,Secondary Structure,Secondary Structure Condition,Secondary Structure Integrity,Significant,Street,Street Number,Survey Area,Alterations,Architect 1 Information,Architect 2 Information,Architectural Classification or Style,Category,Construction Cost,Contractor 1 Information,Contractor 2 Information,Current Name,Current Wall Material 1,Current Wall Material 2,Direction,Door,Door Detailing,Dormers,Foundation Material or Form,Historic Name,Landscape or Streetscape,Listed in an Existing Survey,Notes,Number of Stories,Origional Building Owner,Origional Wall Material 1,Origional Wall Material 2,Ornamentation,Permit,Porch,Preparer,Preparer Organization or Entity,Research or Archival Information,Roof Material,Roof Ornamentation,Roof Type,Significant Features,Storefront Material,Storm Door,Subdivision,Survey Date,Vernacular Styles or Building Form,Wall Detailing or Ornamentation,Window Configuration,Window Detail,Window Material 1,Window Material 2,Window Storms,Window Type
-,Excellent,1942,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-406-028-0000,Yes,-,Garage,Good,Excellent,No,Bonnie Brae Place,102931,2,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped with Cross Gable,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1970,-,Multi Family Residential Building,-,-,-,No,-,-,-,15-01-406-026-1016,No,-,Attached Garage,-,-,No,Bonnie Brae Place,100309,2,-,-,-,Late Modern Eclectic,-,-,-,-,The Valencia,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1949,-,Single Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-406-024-0000,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,103739,2,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
Benedict Bruns,Good,1948,-,Multi Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-01-406-022-0000,Yes,-,-,-,-,No,Thomas Street,722127,2,-,Benedict Bruns,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1925,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-406-019-0000,Yes,-,Garage,Excellent,Excellent,No,Harlem Avenue,1000,2,-,-,-,-,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,Foursquare,-,-,-,-,-,-,-
Loebel  Schlossman & Bennett,Excellent,1949 - 53,-,Institutional Building,-,Institutional Building,Excellent,No,-,C,-,15-01-406-010-0000,Yes,Distinctive style example with excellent integrity  use of carved relief ornament is rare in River Forest and on Jewish Temples.,-,-,-,Yes,Harlem Avenue,1040,2,-,Loebel  Schlossman & Bennett,-,Mid-Century Modern,-,-,-,-,West Suburban Temple Har Zion,Stone,Brick,-,-,-,-,-,-,-,-,The sculpture on the facade is by Milton Horn and is reportedly the first modern figurative temple sculpture.,2,-,-,-,carved stone relief on wall,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Metal,-,Flat,-,-,-,-,July 30 2012,-,-,-,-,-,-,-,-
-,Excellent,1939,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-406-006-0000,Yes,-,Garage,Excellent,Poor,No,Bonnie Brae Place,1019,2,-,-,-,French Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,-,-,-,-,-,-,-,-
-,Excellent,1942,-,Single Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-406-004-0000,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,102527,2,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1925,-,Single Family Residential Building,495,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-018-0000,Yes,-,Garage,Good,Good,No,Monroe Avenue,1020,2,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,arched entry canopy  quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Side Gabled,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1926,-,Single Family Residential Building,477,Single Family Residential Building,Good,No,-,-,-,15-01-405-017-0000,Yes,-,Garage,Excellent,Excellent,No,Monroe Avenue,1002,2,large  compatible front dormer,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical entry portico  quoins  keystones,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Side Gabled,original brick garden wall,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1924,-,Single Family Residential Building,481,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-016-0000,Yes,-,Garage,Good,Excellent,No,Monroe Avenue,1006,2,shutters added,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,-,-,-,-,August 1 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1923,-,Single Family Residential Building,487,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-015-0000,Yes,-,Garage,Excellent,Excellent,No,Monroe Avenue,1012,2,-,-,-,Chicago Bungalow,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped with Cross Gable,-,-,-,-,August 1 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1923,-,Single Family Residential Building,499,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-014-0000,Yes,-,Garage,Good,Good,No,Monroe Avenue,1024,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,-,-,-,-,August 1 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1923,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-013-0000,Yes,-,Garage,Excellent,Excellent,No,Monroe Avenue,1028,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,Porte cochere,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1924,-,Single Family Residential Building,509,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-012-0000,Yes,-,Garage,Good,Poor,No,Monroe Avenue,1034,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,porte cochere,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1928,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-011-0000,Yes,-,Garage,Excellent,Excellent,No,Monroe Avenue,1040,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Stucco,-,-,-,-,-,-,-,-,-,2,-,-,-,half timbering,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Cross gabled,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1951,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-405-010-0000,Yes,-,Attached Garage,-,-,No,Monroe Avenue,1046,2,2nd floor addition  compatible with house,-,-,Minimal Traditional,-,-,-,-,-,Stone,Wood clapboard,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1919,-,Single Family Residential Building,481,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-009-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1001,2,-,-,-,Italian Renaissance,-,$11000,Guy & McClintock,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,Ralph Ware,-,-,blind arch  entry surround,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1923,-,Single Family Residential Building,484,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-008-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1009,2,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,entry canopy,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Side Gabled,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1925,-,Single Family Residential Building,488,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-007-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1015,2,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,quoins,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1924,-,Single Family Residential Building,496,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-006-0000,Yes,-,Attached Garage,-,-,No,Jackson Avenue,1019,2,rear addition  minimal visibility,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,Dutch Colonial styling,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Gambrel,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1930,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,C,-,15-01-405-005-0000,Yes,Excellent example of the Tudor Revival style  unusual placement on site  dramatic form that is more picturesque than most houses in River Forest,Attached Garage,-,-,Yes,Jackson Avenue,1025,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Stucco,-,-,Surrounds,Hipped,-,-,-,-,-,2,-,Brick,Stucco,Half timbering  stone detailing  stone chimney with pots,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,Crenellated,Hipped,Rambling form  entry turret,-,-,-,August 1 2012,-,Timbering,Multi-Paned,Paired,Metal,-,No,Casement
-,Excellent,1930,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-004-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1031,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Stucco,-,-,-,-,-,-,-,-,-,2,-,-,-,half timbering,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1931,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-003-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1035,-,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical entry portico  stone window surrounds,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1928,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-002-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1045,2,-,-,-,Italian Renaissance,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical entry portico  stone window surrounds,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,original brick garden wall & trellis,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1927,-,Single Family Residential Building,516,Single Family Residential Building,Excellent,No,-,-,-,15-01-405-001-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1041,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Stucco,-,-,-,-,-,-,-,-,-,2,-,-,-,half timbering,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,August 1 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,-,Single Family Residential Building,-,Single Family Residential Building,Poor,No,-,-,-,15-01-404-016-0000,No,-,Attached Garage,-,-,No,Lathrop Avenue,1003,2,very large 2nd floor addition  changes character of house,-,-,-,-,-,-,-,-,Stone,Brick,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,August 6 2012,Ranch,-,-,-,-,-,-,-
-,Excellent,1917,-,Single Family Residential Building,486,Single Family Residential Building,Excellent,No,-,-,-,15-01-404-015-0000,Yes,-,Garage,Good,Good,No,Lathrop Avenue,1015,2,-,-,-,Colonial Revival,-,$20000,George Thomson & Sons,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,G.T. Turner,-,-,classical entry surround,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1939,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-404-014-0000,Yes,-,Attached Garage,-,-,No,Lathrop Avenue,1039,2,large compatible rear addition  stone and brick painted,-,-,French Eclectic,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1923,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-404-013-0000,Yes,-,Attached Garage,-,-,No,Lathrop Avenue,1043,2,rear addition connecting garage to house  shutters,-,-,Colonial Revival,-,-,-,-,-,Stucco,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical portico,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1919,-,Single Family Residential Building,200,Single Family Residential Building,Excellent,No,-,-,-,15-01-404-012-0000,Yes,-,Garage,Excellent,Good,No,Augusta,7500,2,-,-,-,Colonial Revival,-,-,-,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Gambrel,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1928,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-404-011-0000,Yes,-,Garage,Excellent,Excellent,No,Jackson Avenue,1014,2,-,-,-,Italian Renaissance,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,arched openings,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Cross gabled,balustraded veranda,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1927,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,C,-,15-01-404-010-0000,Yes,Unusual blend of Renaissance and Deco styles  the main form is Italian Renaissance style but many of the details are Art Deco,Garage,Excellent,Excellent,Yes,Jackson Avenue,1020,2,-,-,-,Italian Renaissance,-,-,-,-,-,Brick,Stone,-,-,Surrounds,-,-,-,-,-,-,2,-,Brick,Stone,Arched and Palladian windows  plain stone piers  dropped stone ornament,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Cross gabled,Vertically fluted stone corners,-,-,-,August 6 2012,-,-,Multi-Paned,Palladian,Wood,-,Yes,Double-Hung
-,Excellent,1931,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-01-404-009-0000,Yes,-,Garage,Good,Good,No,Jackson Avenue,1030,2,poor replacement windows,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,broken pediment entry surround,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1927,-,Single Family Residential Building,515,Single Family Residential Building,Excellent,No,-,-,-,15-01-404-008-0000,Yes,-,Attached Garage,-,-,No,Jackson Avenue,1038,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,stone window surrounds,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Cross gabled,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,-,1925,-,-,521,-,-,-,Illinois Historic Structures Surveys,-,-,15-01-404-007-0000,-,-,-,-,-,-,Jackson Avenue,1046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,Excellent,1925,-,Single Family Residential Building,521,Single Family Residential Building,Excellent,No,Illinois Historic Structures Surveys,C,-,15-01-404-007-0000,Yes,Grand example of the Tudor Revival style with large and highly detailed entry turret.,Attached Garage,-,-,Yes,Jackson Avenue,1046,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,Surrounds,-,-,-,-,-,-,2,-,Brick,-,Stone window surrounds  corner tower,-,Entrance,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,Crenellated,Cross gabled,Entry tower with pointed arches and crenellations,-,-,-,August 6 2012,-,-,Leaded Glass,-,Wood,-,Yes,Double-Hung
-,Excellent,1939,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-404-005-0000,Yes,-,Attached Garage,-,-,No,Lathrop Avenue,1021,2,-,-,-,Minimal Traditional,-,-,-,-,-,Stone,Wood clapboard,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Cross gabled,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1925,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-01-404-003-0000,Yes,-,Garage,Excellent,Excellent,No,Lathrop Avenue,1025,2,-,-,-,French Eclectic,-,-,-,-,-,Stone,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,August 6 2012,-,-,-,-,-,-,-,-
-,Excellent,1955,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-049-1001,Yes,-,-,-,-,No,Harlem Avenue,112430,2,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 30 2012,Courtyard Apartment,-,-,-,-,-,-,-
-,Excellent,1953,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-048-1001,Yes,-,Garage,Excellent,Excellent,No,Division Street,7213,2,-,-,-,Mid-Century Modern,-,-,-,-,The Alexandrian,Brick,Stone,-,-,-,-,-,-,-,-,Excellent example of Mid-Century Modern Style with rare carved relief panel  part of three such buildings.,2,-,Brick,Stone,"carved stone relief ""Hear no evil""",Yes,Full Front,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,Deep Eaves,Flat,-,-,-,-,July 30 2012,Courtyard Apartment,-,1 over 1,Ribbon,Wood,-,Yes,Double-Hung
-,Excellent,1953,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-047-1001,Yes,-,Garage,Excellent,Excellent,No,Division Street,7221,2,-,-,-,Mid-Century Modern,-,-,-,-,The Alexandrian,Brick,Stone,-,-,-,-,-,-,-,-,Excellent example of Mid-Century Modern style with rare carved relief panel  part of three buildings in development.,2,-,Brick,Stone,"carved stone relief ""Speak no evil""",Yes,Full Front,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,Deep Eaves,Flat,-,-,-,-,July 30 2012,Courtyard Apartment,-,1 over 1,Ribbon,Wood,-,Yes,Double-Hung
-,Excellent,1953,-,Multi Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-01-403-046-1001,Yes,-,-,-,-,No,Division Street,720911,2,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,3,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 30 2012,Courtyard Apartment,-,-,-,-,-,-,-
Charles & Arthur Schreiber,Excellent,1947-52,-,Multi Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-01-403-045-1001,Yes,-,-,-,-,No,Harlem Avenue,11001114,2,-,Charles & Arthur Schreiber,-,Art Deco/Moderne,-,$200 000,-,-,Arlington House Condominium,Brick,Stone,-,-,-,-,-,-,-,-,-,3,-,-,-,stone surrounds at entries,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,garden wall,-,-,-,July 30 2012,Courtyard Apartment,-,-,-,-,-,-,-
-,Excellent,1931,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-044-1002,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,1129,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Stucco,-,-,-,-,-,-,-,-,-,3,-,-,-,half timbering,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Cross gabled,corner turret with crenellations ,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1959,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-040-0000,Yes,-,-,-,-,No,Harlem Avenue,1118,2,-,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1953,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-038-0000,Yes,-,Garage,Excellent,Excellent,No,Division Street,7225,2,-,-,-,Mid-Century Modern,-,-,-,-,The Alexandrian,Brick,Stone,-,-,-,-,-,-,-,-,Excellent example of Mid-Century Modern style with rare carved relief panel  part of three buildings in the development.,2,-,Brick,Stone,"carved stone relief ""See no evil""",Yes,Full Front,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,Deep Eaves,Flat,-,-,-,-,July 30 2012,Courtyard Apartment,-,1 over 1,Ribbon,Wood,-,Yes,Double-Hung
-,Excellent,1953,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-032-0000,Yes,-,-,-,-,No,Harlem Avenue,1122,2,-,-,-,Minimal Traditional,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1926,-,Single Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-01-403-022-0000,No,-,-,-,-,No,Harlem Avenue,113436,2,covered in vinyl siding  some changes to massing,-,-,-,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1926,-,Multi Family Residential Building,534,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-019-0000,Yes,-,Garage,Good,Poor,No,Bonnie Brae Place,1111,2,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,3,-,-,-,stone shields on walls  quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1926,-,Multi Family Residential Building,538,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-018-0000,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,1115,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1926,-,Multi Family Residential Building,542,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-017-0000,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,1119,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1926,-,Multi Family Residential Building,546,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-016-0000,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,1123,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Good,1926,-,Multi Family Residential Building,550,Multi Family Residential Building,Excellent,No,-,-,-,15-01-403-015-0000,Yes,-,Garage,Good,Good,No,Bonnie Brae Place,1127,2,-,-,-,Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Hipped,-,-,-,-,July 30 2012,Apartment Flat/Block,-,-,-,-,-,-,-
